sample,ALRT2,ALRT8,ALRT9,TAS2,TAS4,TAS6,TAX2,TAX4,TAX6,TUT1,TUT4,TUT21,ULRT2,ULRT8,ULRT9,UT7,UT8,UT9
alrt9.bins.10.filtered.fa,0.022144423,0.041229241,0.091082209,0.030730002,0.006665594,0.032305445,0.001190482,0.00028405,0.000616318,0,0,0,0.000792265,0.00267166,0.001724472,4.07E-06,7.26E-06,6.11E-08
alrt9.bins.30.filtered.fa,0.010406539,0.042438707,0.195612014,0.020893407,0.007441149,0.011514974,0.001071396,0.001563529,0.000441528,0,0,0,0.000758711,0.002038981,0.016224702,2.52E-06,4.86E-06,3.53E-06
TAX2.bins.57.filtered.fa,4.22E-06,9.40E-07,3.15E-07,0.000170584,8.70E-05,0.000142181,1.067412538,0.089806547,0.000542038,1.081482886,1.861071822,1.149470371,0.00202685,0.003510695,0.009532331,0.285023497,0.533985353,0.314110716
TAX2.bins.91.filtered.fa,0,0,4.22E-07,2.49E-05,3.99E-05,1.65E-05,0.186833611,0.025435609,0.006390608,0.222217366,0.104149144,0.246244968,0.021244586,0.005540068,0.027252123,0.079307281,0.143588965,0.148900375
TAX4.bins.109.filtered.fa,1.01E-05,2.25E-06,1.39E-06,9.96E-05,0.000182069,9.15E-05,0.620415316,0.327513783,0.000542279,0.917043995,0.943825923,1.342439173,0.055543242,0.026754278,0.039847697,0.336030926,0.431189417,0.148438539
TAX4.bins.114.filtered.fa,0,1.61E-08,7.61E-06,0.00018411,0.000245074,0.000185088,1.33591305,0.269567093,0.001653942,1.185737398,1.994378294,0.853496138,0.022619965,0.010485469,0.062549596,0.718278857,1.332502305,2.123045097
TAX4.bins.134.filtered.fa,0,0,0,3.55E-05,3.15E-05,3.35E-05,0.130246983,0.102703432,0.035379743,1.376810685,1.811151084,0.753730416,0.013194375,0.002185506,0.00838082,0.216398293,0.00391064,0.345179812
TAX4.bins.54.filtered.fa,2.06E-05,1.14E-06,4.91E-06,0.000440663,0.000638901,0.000341624,2.017516334,1.253865994,0.026201497,5.070307566,6.324896082,4.533143979,0.114291367,0.127333529,0.21604049,0.535016801,4.542016659,2.923547331
TAX4.bins.78.filtered.fa,6.08E-06,3.34E-06,4.55E-06,0.000503623,0.000551872,0.000407694,3.953904703,0.432153173,0.002001928,3.954185447,2.085550243,5.921307279,0.00434191,0.006188067,0.067905907,3.840797996,4.735890006,5.826977566
TUT1.bins.130.filtered.fa,6.36E-07,0,0,4.86E-07,1.65E-06,2.53E-06,0.013021863,0.001356179,2.33E-05,0.118966402,0.02965467,0.092661819,0.001419285,0.005600144,0.001683948,0.013535275,0.01304819,0.028852943
TUT1.bins.131.filtered.fa,4.76E-06,1.02E-06,1.50E-06,1.96E-06,8.72E-07,5.87E-06,0.014550237,0.002893897,7.79E-05,0.525398454,0.18565741,0.294656145,0.00061856,0.000240023,0.003760355,0.06394653,0.089422958,0.088944924
TUT1.bins.29.filtered.fa,0,2.29E-07,0,0,0,3.80E-06,0.001762651,0.000184319,1.93E-05,0.113053225,0.001509995,0.111007773,0.000961633,0.001486638,0.000240622,0.014003313,0.031841965,0.032165666
TUT1.bins.32.filtered.fa,0,0,3.65E-07,8.16E-06,1.44E-05,1.46E-05,0.058692846,0.00603792,0.000114407,0.258881113,0.170420178,0.433559842,0.002914373,0.003609382,0.006354075,0.172165511,0.298677145,0.235960945
TUT1.bins.42.filtered.fa,2.78E-06,0,7.56E-07,1.64E-05,4.41E-05,2.64E-05,0.149290798,0.034139071,0.00029332,0.117853658,0.159228247,0.085339125,0.005028308,0.007612576,0.018237516,0.112833292,0.167735291,0.202750194
TUT1.bins.64.filtered.fa,1.39E-07,8.01E-08,0,3.54E-07,1.53E-06,0,0.030359055,0.002251871,5.32E-05,0.104890593,0.124570794,0.068346394,0.001965624,0.001011319,0.001511494,0.031845694,0.043229932,0.034079846
TUT1.bins.81.filtered.fa,0,0,0,2.48E-06,5.53E-06,4.51E-06,0.006120859,0.000107081,0,0.114952442,0.100278863,0.023694099,5.23E-05,2.88E-05,0.000153714,0.054232788,0.047192014,0.030891705
TUT1.bins.93.filtered.fa,0,0,0,1.68E-06,9.12E-07,0,0.004671436,0.000327313,4.52E-06,0.153200287,0.037474778,0.085754517,0.000712231,0.000684207,0.001135113,0.011290369,0.029523944,0.023153543
TUT21.bins.144.filtered.fa,2.64E-06,0,3.17E-06,6.83E-05,8.96E-05,6.99E-05,0.660198962,0.07315445,0.000361145,1.116651015,0.95436853,0.279361055,0.001004688,0.002854938,0.099842114,0.656618164,0.870829639,0.181316236
TUT21.bins.148.filtered.fa,3.53E-06,0,2.82E-06,1.69E-05,1.05E-05,5.43E-06,0.121644953,0.00748783,0.000117257,0.451821171,0.556731268,0.482752862,0.001460383,0.001470875,0.008146576,0.056210964,0.099353218,0.148906471
